2018-12-17 18:04:16 mongo_pool.py [line:32] INFO: 更新代理: {'ip': '119.28.203.242', 'port': '8000', 'protocol': 0, 'nick_type': -1, 'speed': 0.51, 'area': None, 'score': 50, 'disable_domains': []}
2018-12-17 18:04:17 mongo_pool.py [line:32] INFO: 更新代理: {'ip': '218.17.21.138', 'port': '808', 'protocol': 2, 'nick_type': 0, 'speed': 0.5, 'area': None, 'score': 50, 'disable_domains': []}
2018-12-17 18:04:17 mongo_pool.py [line:32] INFO: 更新代理: {'ip': '27.155.83.126', 'port': '8081', 'protocol': -1, 'nick_type': -1, 'speed': -1, 'area': None, 'score': 49, 'disable_domains': []}
2018-12-17 18:04:17 mongo_pool.py [line:32] INFO: 更新代理: {'ip': '124.225.237.113', 'port': '8060', 'protocol': 0, 'nick_type': -1, 'speed': 1.55, 'area': None, 'score': 50, 'disable_domains': []}
2018-12-17 18:04:17 mongo_pool.py [line:32] INFO: 更新代理: {'ip': '180.175.19.204', 'port': '8060', 'protocol': 0, 'nick_type': -1, 'speed': 0.57, 'area': None, 'score': 50, 'disable_domains': []}
2018-12-17 18:04:17 mongo_pool.py [line:32] INFO: 更新代理: {'ip': '121.138.171.233', 'port': '8080', 'protocol': 2, 'nick_type': 0, 'speed': 0.36, 'area': None, 'score': 50, 'disable_domains': []}
2018-12-17 18:04:18 mongo_pool.py [line:32] INFO: 更新代理: {'ip': '222.248.243.103', 'port': '8118', 'protocol': -1, 'nick_type': -1, 'speed': -1, 'area': None, 'score': 49, 'disable_domains': []}
2018-12-17 18:04:18 mongo_pool.py [line:32] INFO: 更新代理: {'ip': '123.58.10.74', 'port': '8080', 'protocol': 2, 'nick_type': 0, 'speed': 0.56, 'area': None, 'score': 50, 'disable_domains': []}
2018-12-17 18:04:18 mongo_pool.py [line:32] INFO: 更新代理: {'ip': '139.199.38.182', 'port': '8118', 'protocol': 0, 'nick_type': -1, 'speed': 0.57, 'area': None, 'score': 50, 'disable_domains': []}
2018-12-17 18:04:18 mongo_pool.py [line:32] INFO: 更新代理: {'ip': '221.12.186.82', 'port': '8060', 'protocol': 0, 'nick_type': -1, 'speed': 0.55, 'area': None, 'score': 50, 'disable_domains': []}
